,name,publishers,review
0,Josiah Teal,Film Threat,Everything a blockbuster should be.
1,Film Companion Staff,Film Companion,"[It] proves Indian cinema can, in fact, be just as imaginative and expansive as its Western counterpart."
2,Panos Kotzathanasis,Asian Movie Pulse,"You will not find many films more entertaining than this one, as you will be impressed, laugh, and spend 158 minutes without even realizing it."
3,Rahul Desai,CatchNews,"I cannot begin to imagine what goes on in the expansive mind of S.S. Rajamouli. It's not often one sits through 160 minutes of an Indian period drama, and continues to sit hoping for the sequel to magically materialise on screen."
4,J Hurtado,ScreenAnarchy,"Baahubali - The Beginning is a film for the child in everyone, the one who wants to believe in heroes and derring-do"
5,Shilpa Jamkhandikar,Reuters,"The film, produced by Karan Johar and Anil Thadani, is an adrenaline rush, a spectacle of the kind we haven't seen from an Indian film-maker before and hopefully it is a sign of good things to come."
6,Shekhar H Hooli,International Business Times,[Baahubali - The Beginning] boasts of an interesting storyline and sterling performances by the lead actors. The film surely catapults Indian cinema to international levels.
7,Nandini Ramnath,Scroll.in,Rajamouli's emphasis on spectacle and grandiloquence doesn't blind him to the necessity of moving the story along.
8,Allan Hunter,Screen International,"A sweeping, breathless, gloriously overblown adventure yarn filled with marketable ingredients, from rip-roaring battle scenes to exotic landscapes, big-hearted romance to cliff-hanging suspense."
9,Namrata Joshi,Outlook,"Has a 'been there, already seen in Hollywood' feel to it."
10,Lisa Tsering,Hollywood Reporter,"Although he isn't as well known to Hindi film fans as that other famously shirtless star Salman Khan, Prabhas has a presence grand enough to transcend language."
11,Mihir Fadnavis,Hindustan Times,"The final scene of Bahubali reminds you that the tale will be concluded in next year's sequel. By the time the credits roll, you're left wishing it would come sooner."
12,Mike McCahill,Guardian,"At each turn, the money's right there on screen, yet what's most striking is how these resources have been marshalled - to enhance, rather than clutter up, the narrative throughline."
13,Rachit Gupta,Filmfare,Bahubali is truly an epic experience.
14,Karthik Pasupulate,The Times of India,"The best part of the film is the elaborate war sequence that plays out in the second half. The ostentatious sets, breathtaking montage shots of the fictional kingdom, and the sheer scale of the battle scene stand out."
15,Gautaman Bhaskaran,Hindustan Times,"Baahubali, despite its epic dimensions -- with a tendency to copy larger-than-life Hollywood heroic tales like Ben-Hur and Troy -- fails at some level to draw us into the narrative."
16,Sukanya Verma,Rediff.com,The first part of the epic leaves behind dollops of rip-roaring entertainment to relish.
17,Baradwaj Rangan,The Hindu,"The best sight of all is that of a filmmaker not, for a second, taking his audience for granted."
18,Shubhra Gupta,The Indian Express,I can't wait for the second part.
19,Saibal Chatterjee,NDTV,Scale of ambition: gargantuan. Quality of VFX: out of the ordinary. Content: only occasionally gripping. Final impact: pretty strong.
20,Renuka Vyavahare,The Times of India,"Touted as one of the most expensive films to be made in India, this highly anticipated part one of the two-part period epic, manages to enthrall you with its sheer scale and grandeur."
21,Sangeetha Devi Dundoo,The Hindu,"If a spellbinding saga is what you go looking for, some portions can leave you underwhelmed. The writing could have been better. Yet, there's so much to root for."
22,Josiah Teal,Film Threat,A compelling continuation for our characters without alienating what made fans love the first one. 
23,Stutee Ghosh,The Quint,"Expectations can be tricky. The greater the frenzy over a film, the higher the chances that the film will appear dull in comparison. Luckily for us all, Baahubali 2 manages to live up to the weight of our massive expectations. Go for this one."
