,name,publishers,review
0,Stephanie Bunbury,Deadline Hollywood Daily,"RRR is one action crescendo after another, never dull but not exhausting either."
1,Gautam Sunder,The Hindu,"SS Rajamouli delivers his most complete, his most Rajamouli film yet..."
2,Zach Pope,Zach Pope Reviews,"What a blast of filmmaking, talent, & across the board insanity. Emotional, riveting, hilarious, action packed, & flat out just one of the most entertaining films I’ve seen this year. So over the top I couldn’t stop watching"
3,Steve Crum,Crum on Showbiz,There are complications and coincidences at work. That is the heart and soul of this great adventure laden with fantasy.
4,Matt Brunson,Film Frenzy,One of 2022's 20 best films.
5,Alison Herman,The Ringer,"In a movie that also includes Bheem battling a tiger with his bare hands and an aerial rescue involving a motorcycle, “Naatu Naatu” may be the most impressive action sequence. "
6,Rahul Desai,Film Companion,"It's not just about men transitioning from ignorant to enlightened, sad to happy, or anti-hero to hero. It's about humans morphing into fable, history turning into heavens and hells – and life transforming into visual literature."
7,Mukesh Manjunath,Film Companion,"...goosebumps raising, whiste-worthy, crazy, insane. Did I say outrageous?"
8,Randy Myers,San Jose Mercury News,The bonanza with a cast of what looks to be thousands and a storyline about getting back at colonizers is a blast throughout its 3-hour-plus running time.
9,Robert Roten,Laramie Movie Scope,"This big epic action movie reminds me of some of those Fast and Furious movies because of the really outlandish action sequences, but this film has the added attraction of Bollywood style musical numbers and a showy dance off."
10,Emiliano Basile,EscribiendoCine,... A show that escapes realist drama at every turn. [Fulll review in Spanish]
11,Kristen Maldonado,Pop Culture Planet,"Between the stunts, the music, and the acting, you don't want to miss this fantastical spectacle of an adventure. It's cinema at its finest!"
12,Alan French,Sunshine State Cineplex,"One of the beset films of 2022, RRR stands as a gateway into South Asian cinema. "
13,Jeffrey M. Anderson,Combustible Celluloid,"There are many twists as this beast punches its way through three long hours, but it moves so beautifully and is so frequently astonishing that it's well worth a look."
14,Panos Kotzathanasis,Asian Movie Pulse,"We critics occasionally forget that one of the main purposes of cinema is to entertain, impress, and have the audience simply have fun watching. “RRR” reminds us just that. 

"
